epsilon,acc_cnn,loss_cnn,acc_quantum,loss_quantum
0.0,0.7801188786373314,1.7679452,0.7258694109297374,0.6266806721687317
0.05,0.3794801277501774,6.329668,0.7082150461320085,0.6330904960632324
0.1,0.23451916252661462,7.922648,0.6925567778566359,0.640841007232666
0.15,0.12539921930447126,8.989211,0.6822657913413769,0.6484421491622925
0.2,0.025239531582682755,9.886762,0.6737934705464869,0.6557694673538208
0.25,0.01051277501774308,10.432911,0.639194464158978,0.6629109978675842
0.3,0.004213981547196593,10.633835,0.5821061036195884,0.6689517498016357
0.35,0.0042583392476933995,10.697042,0.5399219304471257,0.6744098663330078
0.4,0.007407735982966643,10.797399,0.5112668559261888,0.6803796887397766
0.45,0.010379701916252662,10.85958,0.5010645848119234,0.6862285733222961
0.5,0.013307310149041874,10.908872,0.4722320794889993,0.6914941072463989
0.55,0.015613910574875798,11.079885,0.4602998580553584,0.6963900923728943
0.6,0.01867459190915543,11.238747,0.43985095812633074,0.7008970379829407
0.65,0.021779630943931868,11.404822,0.42760823278921223,0.7050271034240723
0.7,0.028078424414478352,11.577622,0.42299503193754434,0.7087211012840271
0.75,0.030296309439318665,11.754041,0.41163946061036194,0.7119477987289429
0.8,0.03566359119943222,11.97655,0.41208303761533,0.7145313620567322
0.85,0.03912349183818311,12.160563,0.41234918381831087,0.7165738940238953
0.9,0.04324875798438609,12.317057,0.4077803406671398,0.7182294130325317
0.95,0.04879347054648687,12.416108,0.40578424414478353,0.7194575667381287
1.0,0.051321859474804825,12.517554,0.40312278211497515,0.7198776602745056
