epsilon,accuracy_on_quantum,loss_on_quantum,accuracy_on_cnn,loss_on_cnn
0.0,0.7382008516678495,0.5898587642536314,0.5693310858765082,4.453910589905123
0.05,0.7059528034066714,0.6134648705655001,0.5692423704755145,5.564322337104459
0.1,0.6649219304471257,0.666946480700937,0.5692423704755145,6.531984324544056
0.15000000000000002,0.4644251242015614,0.7297433868980331,0.5692423704755145,6.842660628588354
0.2,0.3456352022711143,0.7789978396668685,0.5692423704755145,6.8657488256538075
0.25,0.2280429382540809,0.8102713876833382,0.5692423704755145,6.866784664615637
0.30000000000000004,0.10344215755855217,0.8285129699971713,0.5692423704755145,6.867150286652568
0.35000000000000003,0.04533356990773598,0.838862296133942,0.5692423704755145,6.867206641449656
0.4,0.020759403832505324,0.8446358638839025,0.5692423704755145,6.867245475229702
0.45,0.00674237047551455,0.8476234675901384,0.5692423704755145,6.867286119779555
0.5,0.0037260468417317245,0.8480316258116708,0.5692423704755145,6.867286119779555
0.55,0.00319375443577005,0.8465839136857328,0.5692423704755145,6.867286119779555
0.6000000000000001,0.003016323633782825,0.8447145445144534,0.5692423704755145,6.867286119779555
0.65,0.0037260468417317245,0.8426041668820033,0.5692423704755145,6.867304105279382
0.7000000000000001,0.004834989354151881,0.8404495600638651,0.5692423704755145,6.867304105279382
0.75,0.005234208658623137,0.8384234281946695,0.5692423704755145,6.867304105279382
0.8,0.00674237047551455,0.836502843119898,0.5692423704755145,6.867304105279382
0.8500000000000001,0.009403832505322923,0.8346451334059107,0.5692423704755145,6.867304105279382
0.9,0.010424059616749467,0.8328174951306512,0.5692423704755145,6.867304105279382
0.9500000000000001,0.012597586941092974,0.8309873701167758,0.5692423704755145,6.867304105279382
1.0,0.01406139105748758,0.8287026476438347,0.5692423704755145,6.867304105279382
