epsilon,acc_quantum_clean,acc_quantum_adv,loss_quantum_clean,loss_quantum_adv,acc_cnn_clean,acc_cnn_adv,loss_cnn_clean,loss_cnn_adv
0.0,0.7532824698367636,0.7382008516678495,0.55133766,0.5898587,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.05,0.6521912704045423,0.7059528034066714,0.64482605,0.61346483,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.1,0.5907114975159687,0.6649219304471257,0.7557891,0.6669465,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.15000000000000002,0.18980660042583392,0.4644251242015614,0.8451485,0.72974336,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.2,0.0007540809084457062,0.3456352022711143,0.8886902,0.7789978,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.25,0.0,0.2280429382540809,0.8983905,0.8102714,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.30000000000000004,0.0,0.10344215755855217,0.8918152,0.82851297,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.35000000000000003,0.00035486160397445,0.04533356990773598,0.87923163,0.83886224,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.4,0.0024396735273243433,0.020759403832505324,0.86594707,0.84463584,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.45,0.003371185237757275,0.00674237047551455,0.8541867,0.8476235,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.5,0.0063875088715401,0.0037260468417317245,0.8463519,0.84803164,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.55,0.010911994322214336,0.00319375443577005,0.83971417,0.84658396,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.6000000000000001,0.02044889992902768,0.003016323633782825,0.8332549,0.8447146,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.65,0.03637331440738112,0.0037260468417317245,0.82703686,0.84260416,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.7000000000000001,0.05859652235628105,0.004834989354151881,0.8213053,0.8404496,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.75,0.0731902058197303,0.005234208658623137,0.8162554,0.83842343,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.8,0.09199787083037615,0.00674237047551455,0.81173736,0.8365029,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.8500000000000001,0.11745919091554294,0.009403832505322923,0.807641,0.83464503,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.9,0.12672995031937545,0.010424059616749467,0.8038733,0.8328175,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
0.9500000000000001,0.1363555713271824,0.012597586941092974,0.8003272,0.8309873,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
1.0,0.14527146912704045,0.01406139105748758,0.79655844,0.8287027,0.5692423704755145,0.5692423704755145,0.69172627,5.0860457
